Trailer_id,Title,ReleaseYear,Studio,OpeningTheaters,ViewCount,LikeCount,DislikeCount,LikeDislikeRatio,CommentCount,positiveWordsBL,negativeWordsBL,netSentimentBL,scoreAbsoluteAFINN,budget,OpeningWeekendGross,genre,mpaaRating,TotalGross
3AsOdX7NcJs,London Has Fallen,2016,Focus,"3,490",13432969,36469,3260,11.19,6233,2671,4156,-1485,-2401,60000000,"$21,635,601 ",Action,R,"$62,678,608 "
CE3e3hGF2jc,Black Mass,2015,WB,"3,188",11533561,38231,995,38.42,4629,3060,2181,879,4532,53000000,"$22,635,037 ",Drama,R,"$62,575,678 "
tUcrbUCWKQc,Underworld Awakening,2012,SGem,"3,078",4157985,8742,274,31.91,2930,2045,1663,382,544,70000000,"$25,306,725 ",Horror,R,"$62,321,039 "
2UNWLgY-wuo,Ender's Game,2013,LG/S,"3,407",7237107,16623,1547,10.75,6052,5371,4569,802,2740,110000000,"$27,017,351 ",Sci-Fi,PG-13,"$61,737,191 "
CldGTG6iVrU,Miracles from Heaven,2016,TriS,"3,047",7979366,40160,1605,25.02,5128,2821,2233,588,3292,13000000,"$14,812,393 ",Drama,PG,"$61,705,123 "
8yASbM8M2vg,Deepwater Horizon,2016,LG/S,"3,259",13258791,26598,1892,14.06,3223,1728,2008,-280,-210,110000000,"$20,223,544 ",Drama,PG-13,"$61,433,527 "
bpXfcTF6iVk,Prisoners,2013,WB,"3,260",9353457,20979,763,27.5,4874,3655,2432,1223,4495,46000000,"$20,817,053 ",Action,R,"$61,002,302 "
bMjo5f9eiX8,God's Not Dead,2014,Free,780,5944678,35165,12263,2.87,24529,24583,29994,-5411,3244,2000000,"$9,217,013 ",Drama,PG,"$60,755,732 "
CZIt20emgLY,After Earth,2013,Sony,"3,401",17410386,41840,3488,12,11253,9197,8999,198,2377,130000000,"$27,520,040 ",Sci-Fi,PG-13,"$60,522,097 "
MKqaiQZdv3c,The Lucky One,2012,WB,"3,155",6407202,20893,766,27.28,617,409,171,238,675,25000000,"$22,518,358 ",Other,PG-13,"$60,457,138 "
CO6qLC4cL8E,Why Him?,2016,Fox,"2,917",7394098,29999,1843,16.28,2381,1097,791,306,1838,38000000,"$11,002,986 ",Comedy,R,"$60,323,786 "
9OYUi3VqxkM,Blockers,2018,Uni.,"3,379",4847641,39719,1517,26.18,778,284,194,90,575,21000000,"$20,556,350 ",Comedy,R,"$60,147,900 "
t9QtXGirWf0,Night School (2018),2018,Uni.,"3,010",10006102,68438,4160,16.45,3829,1389,2655,-1266,-1110,29000000,"$27,257,615 ",Comedy,PG-13,"$59,843,950 "
